att=2.30, moe=30.37
att=2.10, moe=30.32
att=2.08, moe=30.19
att=2.11, moe=30.13
att=2.09, moe=30.32
att=2.06, moe=30.20
att=2.07, moe=27.30
att=2.07, moe=30.84
att=2.07, moe=30.94
att=2.09, moe=29.87
att=2.05, moe=30.11
att=2.06, moe=26.59
att=2.07, moe=29.91
att=2.08, moe=26.72
att=2.07, moe=30.10
att=2.07, moe=30.35
att=2.08, moe=30.13
att=2.02, moe=29.99
att=2.07, moe=30.17
att=2.06, moe=30.15
att=2.07, moe=30.04
att=2.07, moe=30.29
att=2.06, moe=30.22
att=2.05, moe=30.11
att=2.07, moe=27.53
att=2.04, moe=30.04
att=2.06, moe=30.21
att=2.04, moe=30.06
att=2.06, moe=30.12
att=2.05, moe=30.11
att=2.06, moe=30.06
att=2.04, moe=30.04
att=1.95, moe=8.15
att=1.95, moe=8.11
att=1.95, moe=8.07
att=1.92, moe=8.16
att=1.95, moe=8.11
att=1.95, moe=8.13
att=1.93, moe=8.11
att=1.92, moe=8.14
att=1.94, moe=8.12
att=1.95, moe=8.10
att=1.95, moe=8.15
att=1.93, moe=8.11
att=1.95, moe=8.13
att=1.95, moe=7.96
att=1.91, moe=8.15
att=1.96, moe=8.10
att=1.95, moe=8.09
att=1.92, moe=8.14
att=1.95, moe=8.10
att=1.96, moe=8.07
att=1.98, moe=8.12
att=1.93, moe=8.16
att=1.96, moe=8.12
att=1.91, moe=8.12
att=1.91, moe=8.07
att=1.94, moe=8.09
att=1.92, moe=8.12
att=1.91, moe=8.04
att=1.93, moe=8.13
att=1.93, moe=8.11
att=1.92, moe=8.13
att=1.92, moe=8.08
att=1.96, moe=8.08
att=1.93, moe=8.10
att=1.94, moe=8.10
att=1.93, moe=8.18
att=2.04, moe=8.13
att=1.96, moe=8.09
att=1.93, moe=8.19
att=1.94, moe=8.14
att=1.93, moe=8.11
att=1.93, moe=8.06
att=1.92, moe=8.21
att=1.93, moe=8.15
att=1.94, moe=8.12
att=1.90, moe=8.17
att=1.90, moe=8.13
att=1.93, moe=8.09
att=2.00, moe=8.13
att=1.94, moe=8.14
att=1.96, moe=8.10
att=1.93, moe=8.12
att=1.92, moe=8.16
att=1.92, moe=8.03
att=1.93, moe=8.13
att=1.90, moe=8.18
att=1.96, moe=8.09
att=1.94, moe=8.06
att=1.93, moe=8.05
att=1.93, moe=8.21
att=1.93, moe=8.15
att=1.96, moe=8.16
att=2.04, moe=8.18
att=1.97, moe=8.06
att=1.92, moe=8.09
att=1.91, moe=8.13
att=1.96, moe=8.29
att=1.93, moe=8.10
att=1.93, moe=8.09
att=1.93, moe=8.14
att=1.91, moe=8.16
att=1.93, moe=8.06
att=1.91, moe=8.10
att=1.95, moe=7.92
att=1.90, moe=8.19
att=1.92, moe=8.16
att=1.95, moe=8.15
att=1.93, moe=8.16
att=1.92, moe=8.17
att=1.95, moe=8.13
att=1.95, moe=8.13
att=1.92, moe=8.06
att=1.92, moe=8.19
att=1.94, moe=8.06
att=1.91, moe=8.11
att=1.91, moe=8.12
att=1.95, moe=8.10
att=2.05, moe=8.15
att=1.92, moe=8.10
att=1.93, moe=8.10
att=1.94, moe=8.24
att=1.93, moe=8.09
att=1.91, moe=8.13
att=1.95, moe=8.13
att=1.90, moe=8.12
att=1.90, moe=8.04
att=1.91, moe=8.11
att=1.94, moe=8.05
att=1.95, moe=8.12
att=1.94, moe=8.05
att=1.92, moe=8.04
att=1.95, moe=8.07
att=1.93, moe=8.05
att=1.94, moe=8.15
att=1.95, moe=8.06
att=1.94, moe=8.12
att=1.94, moe=8.18
att=1.96, moe=8.17
att=1.96, moe=8.13
att=1.93, moe=8.18
att=1.93, moe=8.06
att=1.94, moe=8.15
att=1.93, moe=8.13
att=1.92, moe=8.20
att=1.92, moe=8.12
att=1.92, moe=8.15
att=1.91, moe=8.27
att=1.92, moe=8.04
att=1.94, moe=8.12
att=1.93, moe=8.12
att=1.91, moe=8.10
att=1.94, moe=8.12
att=1.94, moe=8.14
att=1.94, moe=8.14
att=1.92, moe=8.09
att=1.93, moe=8.12
att=1.91, moe=8.15
att=1.93, moe=8.12
att=1.92, moe=8.14
att=1.93, moe=8.05
att=1.94, moe=8.13
att=1.90, moe=8.08
att=1.91, moe=8.12
att=1.95, moe=8.11
att=1.92, moe=8.12
att=1.93, moe=8.11
att=1.93, moe=8.10
att=1.93, moe=8.13
att=1.92, moe=8.14
att=1.91, moe=8.12
att=1.93, moe=8.09
att=1.90, moe=8.14
att=1.92, moe=8.06
att=1.95, moe=8.13
att=1.93, moe=8.14
att=1.91, moe=8.15
att=1.94, moe=8.16
att=1.93, moe=8.11
att=1.92, moe=8.07
att=1.93, moe=8.08
att=1.95, moe=8.08
att=1.92, moe=8.28
att=1.93, moe=8.13
att=1.95, moe=8.09
att=1.91, moe=8.13
att=1.90, moe=8.11
att=1.95, moe=8.11
att=1.93, moe=8.10
att=1.93, moe=8.12
att=1.93, moe=8.10
2.7884092330932617
