att=6.71, moe=71.39
att=6.63, moe=70.13
att=6.64, moe=71.17
att=6.64, moe=71.42
att=6.63, moe=70.10
att=6.62, moe=72.29
att=6.62, moe=67.59
att=6.63, moe=70.77
att=6.64, moe=71.49
att=6.60, moe=71.21
att=6.64, moe=70.86
att=6.63, moe=69.05
att=6.63, moe=71.79
att=6.65, moe=69.21
att=6.64, moe=70.21
att=6.66, moe=70.65
att=6.64, moe=72.17
att=6.63, moe=71.56
att=6.63, moe=71.83
att=6.65, moe=69.95
att=6.63, moe=71.45
att=6.63, moe=71.68
att=6.62, moe=70.43
att=6.64, moe=70.86
att=6.63, moe=68.21
att=6.64, moe=71.50
att=6.62, moe=71.49
att=6.64, moe=70.88
att=6.62, moe=71.23
att=6.63, moe=71.45
att=6.65, moe=71.68
att=6.62, moe=71.52
att=2.04, moe=11.52
att=2.02, moe=11.45
att=2.04, moe=11.18
att=2.02, moe=11.42
att=2.04, moe=11.41
att=2.01, moe=11.34
att=2.05, moe=11.33
att=2.02, moe=11.34
att=2.02, moe=11.37
att=2.01, moe=11.30
att=2.06, moe=11.35
att=2.03, moe=11.35
att=2.02, moe=11.41
att=2.04, moe=11.40
att=2.02, moe=11.39
att=2.03, moe=11.39
att=2.04, moe=11.36
att=2.02, moe=11.49
att=2.03, moe=11.24
att=1.99, moe=11.10
att=2.03, moe=11.36
att=2.07, moe=11.41
att=2.02, moe=11.39
att=2.04, moe=11.42
att=2.01, moe=11.31
att=2.02, moe=11.37
att=1.94, moe=11.35
att=2.02, moe=11.30
att=2.03, moe=11.33
att=2.01, moe=11.38
att=2.02, moe=11.36
att=2.00, moe=11.34
att=2.03, moe=11.27
att=2.04, moe=11.41
att=2.00, moe=11.29
att=2.04, moe=11.39
att=2.01, moe=11.32
att=2.01, moe=11.36
att=2.01, moe=11.41
att=2.00, moe=11.36
att=2.03, moe=11.40
att=2.00, moe=11.33
att=2.02, moe=11.35
att=2.01, moe=11.41
att=2.02, moe=11.38
att=2.02, moe=11.40
att=2.03, moe=11.43
att=2.01, moe=11.31
att=2.03, moe=11.36
att=2.00, moe=11.32
att=1.85, moe=11.25
att=2.01, moe=11.46
att=2.05, moe=11.58
att=2.00, moe=11.23
att=2.02, moe=11.35
att=2.02, moe=11.38
att=2.00, moe=11.27
att=2.00, moe=11.35
att=2.03, moe=11.27
att=2.07, moe=11.37
att=2.00, moe=11.36
att=2.05, moe=11.35
att=2.01, moe=11.36
att=2.03, moe=11.39
att=2.15, moe=11.31
att=2.01, moe=11.44
att=2.01, moe=11.32
att=2.02, moe=11.30
att=2.01, moe=11.30
att=2.02, moe=11.39
att=2.00, moe=11.36
att=2.12, moe=11.23
att=2.01, moe=11.33
att=2.03, moe=12.04
att=2.03, moe=11.39
att=2.03, moe=11.44
att=2.00, moe=11.32
att=2.03, moe=11.37
att=2.01, moe=11.36
att=1.99, moe=11.33
att=2.03, moe=11.31
att=2.00, moe=11.23
att=2.02, moe=11.37
att=2.01, moe=11.28
att=2.04, moe=11.37
att=2.02, moe=11.38
att=2.03, moe=11.37
att=2.02, moe=11.41
att=2.02, moe=11.30
att=1.99, moe=11.26
att=2.02, moe=11.35
att=2.01, moe=11.29
att=2.05, moe=11.39
att=2.01, moe=11.31
att=2.01, moe=11.36
att=2.00, moe=11.27
att=2.05, moe=11.45
att=2.01, moe=11.27
att=2.05, moe=11.36
att=2.02, moe=11.31
att=2.03, moe=11.29
att=2.00, moe=11.29
att=2.00, moe=11.23
att=2.02, moe=11.46
att=2.02, moe=11.30
att=2.02, moe=11.31
att=2.01, moe=11.48
att=2.02, moe=11.40
att=2.01, moe=11.40
att=2.00, moe=11.43
att=2.00, moe=11.27
att=2.01, moe=11.32
att=1.98, moe=11.36
att=2.02, moe=11.34
att=1.99, moe=11.34
att=2.02, moe=11.36
att=2.00, moe=11.35
att=2.02, moe=11.24
att=2.01, moe=11.32
att=2.01, moe=11.33
att=2.00, moe=11.32
att=2.03, moe=11.36
att=2.05, moe=11.34
att=2.09, moe=11.26
att=1.98, moe=11.24
att=2.03, moe=11.31
att=1.99, moe=11.34
att=2.00, moe=11.35
att=2.02, moe=11.34
att=2.01, moe=11.25
att=2.00, moe=11.44
att=2.00, moe=11.24
att=1.98, moe=11.28
att=2.01, moe=11.29
att=2.00, moe=11.26
att=1.99, moe=11.26
att=1.99, moe=11.31
att=2.00, moe=11.26
att=1.98, moe=11.32
att=2.12, moe=11.26
att=1.99, moe=11.28
att=2.01, moe=11.36
att=2.00, moe=11.28
att=2.03, moe=11.33
att=2.00, moe=11.28
att=2.02, moe=11.34
att=2.00, moe=11.29
att=2.03, moe=11.41
att=2.01, moe=11.25
att=2.03, moe=11.32
att=2.07, moe=11.30
att=2.03, moe=11.37
att=2.00, moe=11.29
att=2.02, moe=11.27
att=2.00, moe=11.25
att=2.02, moe=11.27
att=1.99, moe=11.24
att=2.02, moe=11.34
att=2.00, moe=11.31
att=2.00, moe=11.33
4.782879114151001
