att=4.74, moe=16.44
att=4.67, moe=50.45
att=4.67, moe=54.86
att=4.66, moe=53.87
att=4.65, moe=57.67
att=4.66, moe=51.31
att=4.66, moe=50.98
att=4.77, moe=49.23
att=4.66, moe=52.81
att=4.67, moe=52.19
att=4.68, moe=48.03
att=4.70, moe=52.02
att=4.67, moe=46.16
att=4.71, moe=49.01
att=4.67, moe=49.82
att=4.67, moe=45.29
att=4.68, moe=54.89
att=4.67, moe=49.07
att=4.66, moe=47.42
att=4.66, moe=47.43
att=4.67, moe=48.76
att=4.71, moe=52.89
att=4.66, moe=53.11
att=4.68, moe=52.75
att=4.66, moe=55.77
att=4.66, moe=57.58
att=4.66, moe=50.35
att=4.67, moe=55.41
att=1.58, moe=1.92
att=1.56, moe=7.20
att=1.51, moe=7.21
att=1.51, moe=7.18
att=1.63, moe=7.13
att=1.50, moe=7.18
att=1.53, moe=7.16
att=1.54, moe=7.12
att=1.51, moe=7.15
att=1.52, moe=7.16
att=1.55, moe=7.12
att=1.49, moe=7.16
att=1.52, moe=7.15
att=1.54, moe=7.18
att=1.50, moe=7.15
att=1.51, moe=7.17
att=1.55, moe=7.14
att=1.50, moe=7.16
att=1.52, moe=7.11
att=1.55, moe=7.14
att=1.51, moe=7.15
att=1.51, moe=7.14
att=1.55, moe=7.11
att=1.50, moe=7.12
att=1.54, moe=7.12
att=1.54, moe=7.21
att=1.50, moe=7.13
att=1.51, moe=7.14
att=1.53, moe=1.89
att=1.53, moe=7.18
att=1.55, moe=7.16
att=1.51, moe=7.15
att=1.53, moe=7.18
att=1.55, moe=7.14
att=1.51, moe=7.19
att=1.54, moe=7.14
att=1.54, moe=7.16
att=1.51, moe=7.18
att=1.53, moe=7.14
att=1.53, moe=7.22
att=1.53, moe=7.20
att=1.54, moe=7.15
att=1.53, moe=7.21
att=1.53, moe=7.19
att=1.53, moe=7.17
att=1.53, moe=7.24
att=1.52, moe=7.18
att=1.53, moe=7.24
att=1.53, moe=7.17
att=1.51, moe=7.19
att=1.53, moe=7.14
att=1.52, moe=7.14
att=1.52, moe=7.16
att=1.52, moe=7.12
att=1.52, moe=7.15
att=1.51, moe=7.15
att=1.55, moe=1.92
att=1.52, moe=7.15
att=1.52, moe=7.13
att=1.52, moe=7.17
att=1.50, moe=7.11
att=1.52, moe=7.13
att=1.51, moe=7.13
att=1.52, moe=7.12
att=1.52, moe=7.11
att=1.52, moe=7.12
att=1.52, moe=7.12
att=1.52, moe=7.15
att=1.50, moe=7.15
att=1.58, moe=7.14
att=1.52, moe=7.15
att=1.51, moe=7.15
att=1.51, moe=7.14
att=1.52, moe=7.16
att=1.52, moe=7.15
att=1.52, moe=7.13
att=1.51, moe=7.13
att=1.51, moe=7.15
att=1.54, moe=7.11
att=1.52, moe=7.09
att=1.52, moe=7.12
att=1.52, moe=7.10
att=1.53, moe=7.03
att=1.53, moe=7.11
att=2.17, moe=1.97
att=2.20, moe=7.55
att=1.60, moe=7.49
att=2.38, moe=7.52
att=1.56, moe=7.25
att=1.51, moe=7.25
att=1.53, moe=7.29
att=1.54, moe=7.27
att=1.53, moe=7.22
att=1.53, moe=7.20
att=1.53, moe=7.19
att=1.52, moe=7.24
att=1.54, moe=7.19
att=1.53, moe=7.21
att=1.52, moe=7.24
att=1.55, moe=7.28
att=1.51, moe=7.24
att=1.53, moe=7.24
att=1.54, moe=7.20
att=1.51, moe=7.23
att=1.53, moe=7.18
att=1.53, moe=7.23
att=1.53, moe=7.18
att=1.54, moe=7.18
att=1.54, moe=7.18
att=1.53, moe=7.19
att=1.52, moe=7.14
att=1.51, moe=7.28
att=1.56, moe=1.90
att=1.54, moe=7.20
att=1.51, moe=7.19
att=1.53, moe=7.17
att=1.52, moe=7.17
att=1.50, moe=7.16
att=1.54, moe=7.16
att=1.52, moe=7.13
att=1.50, moe=7.20
att=1.53, moe=7.11
att=1.55, moe=7.14
att=1.50, moe=7.14
att=1.53, moe=7.09
att=1.53, moe=7.14
att=1.50, moe=7.14
att=1.52, moe=7.17
att=1.52, moe=7.15
att=1.50, moe=7.12
att=1.52, moe=7.15
att=1.52, moe=7.17
att=1.50, moe=7.15
att=1.52, moe=7.23
att=1.51, moe=7.16
att=1.49, moe=7.12
att=1.52, moe=7.11
att=1.51, moe=7.12
att=1.50, moe=7.09
att=1.51, moe=7.14
2.8673088550567627
