att=7.14, moe=3.60
att=7.10, moe=3.61
att=6.93, moe=3.61
att=6.92, moe=3.57
att=6.92, moe=3.59
att=6.92, moe=3.57
att=6.91, moe=3.60
att=6.91, moe=3.58
att=6.94, moe=3.57
att=6.93, moe=3.62
att=6.91, moe=3.59
att=6.93, moe=3.57
att=6.93, moe=3.54
att=6.92, moe=3.57
att=6.92, moe=3.41
att=6.91, moe=3.54
att=6.93, moe=3.57
att=6.93, moe=3.56
att=6.92, moe=3.60
att=6.92, moe=3.54
att=6.92, moe=3.59
att=6.91, moe=3.62
att=6.94, moe=3.57
att=6.92, moe=3.56
att=6.94, moe=3.59
att=7.07, moe=3.52
att=6.93, moe=3.59
att=6.90, moe=3.58
att=6.91, moe=3.58
att=6.91, moe=3.55
att=6.91, moe=3.58
att=7.23, moe=3.28
att=1.94, moe=2.10
att=1.92, moe=2.11
att=1.92, moe=2.12
att=1.91, moe=2.12
att=1.89, moe=2.10
att=1.92, moe=2.09
att=1.94, moe=2.10
att=1.91, moe=2.11
att=1.88, moe=2.11
att=1.91, moe=2.12
att=1.90, moe=2.11
att=1.92, moe=2.10
att=1.93, moe=2.09
att=1.92, moe=2.10
att=1.90, moe=2.12
att=1.88, moe=2.12
att=1.93, moe=2.14
att=1.94, moe=2.08
att=1.92, moe=2.10
att=1.91, moe=2.11
att=1.91, moe=2.11
att=1.90, moe=2.09
att=1.91, moe=2.08
att=1.93, moe=2.10
att=1.91, moe=2.11
att=1.89, moe=2.11
att=1.90, moe=2.11
att=1.90, moe=2.22
att=1.91, moe=2.08
att=1.92, moe=2.10
att=1.90, moe=2.11
att=1.90, moe=2.11
att=1.92, moe=2.12
att=1.90, moe=2.10
att=1.93, moe=2.09
att=1.94, moe=2.09
att=1.91, moe=2.12
att=1.90, moe=2.12
att=1.92, moe=2.13
att=1.92, moe=2.10
att=1.92, moe=2.09
att=1.94, moe=2.09
att=1.92, moe=2.11
att=1.91, moe=2.11
att=1.90, moe=2.10
att=1.94, moe=2.10
att=1.94, moe=2.09
att=1.93, moe=2.11
att=1.91, moe=2.10
att=1.91, moe=2.12
att=1.90, moe=2.10
att=1.91, moe=2.10
att=1.93, moe=2.26
att=1.92, moe=2.11
att=1.90, moe=2.11
att=1.90, moe=2.12
att=1.93, moe=2.11
att=1.94, moe=2.10
att=1.92, moe=2.11
att=1.91, moe=2.11
att=1.92, moe=2.11
att=1.92, moe=2.09
att=1.91, moe=2.09
att=1.93, moe=2.10
att=1.93, moe=2.11
att=1.91, moe=2.12
att=1.89, moe=2.11
att=1.91, moe=2.11
att=1.91, moe=2.09
att=1.91, moe=2.23
att=1.92, moe=2.10
att=1.90, moe=2.12
att=1.90, moe=2.12
att=1.89, moe=2.09
att=1.93, moe=2.09
att=1.93, moe=2.09
att=1.89, moe=2.11
att=1.90, moe=2.11
att=1.91, moe=2.11
att=1.91, moe=2.09
att=1.90, moe=2.08
att=1.92, moe=2.09
att=1.90, moe=2.11
att=1.88, moe=2.11
att=1.90, moe=2.11
att=1.90, moe=2.09
att=1.90, moe=2.09
att=1.92, moe=2.08
att=1.90, moe=2.09
att=1.89, moe=2.10
att=1.89, moe=2.11
att=1.91, moe=2.08
att=1.91, moe=2.08
att=1.91, moe=2.09
att=1.90, moe=2.11
att=1.90, moe=2.10
att=1.90, moe=2.11
att=1.89, moe=2.11
att=1.93, moe=2.09
att=1.93, moe=2.09
att=1.92, moe=2.11
att=1.92, moe=2.11
att=1.91, moe=2.10
att=1.89, moe=2.09
att=1.92, moe=2.09
att=1.95, moe=2.10
att=1.92, moe=2.12
att=1.90, moe=2.12
att=1.91, moe=2.11
att=1.90, moe=2.08
att=1.91, moe=2.09
att=1.93, moe=2.09
att=1.91, moe=2.10
att=1.90, moe=2.10
att=1.90, moe=2.11
att=1.92, moe=2.10
att=1.93, moe=2.08
att=1.91, moe=2.11
att=1.91, moe=2.10
att=1.91, moe=2.11
att=1.90, moe=2.10
att=1.91, moe=2.08
att=1.93, moe=2.08
att=1.90, moe=2.11
att=1.89, moe=2.10
att=1.91, moe=2.11
att=1.91, moe=2.09
att=1.91, moe=2.08
att=1.92, moe=2.10
att=1.93, moe=2.10
att=1.91, moe=2.13
att=1.89, moe=2.11
att=1.91, moe=2.10
att=1.92, moe=2.09
att=1.92, moe=2.09
att=1.91, moe=2.10
att=1.90, moe=2.10
att=1.89, moe=2.09
att=1.89, moe=2.10
att=1.92, moe=2.10
att=1.93, moe=2.08
att=1.91, moe=2.10
att=1.91, moe=2.11
att=1.90, moe=2.10
att=1.88, moe=2.08
att=1.92, moe=2.09
att=1.93, moe=2.09
att=1.90, moe=2.12
att=1.90, moe=2.11
att=1.89, moe=2.11
att=1.90, moe=2.09
att=1.90, moe=2.09
att=1.93, moe=2.09
att=1.91, moe=2.11
att=1.89, moe=2.10
att=1.91, moe=2.10
att=1.91, moe=2.07
att=1.91, moe=2.08
att=1.91, moe=2.07
att=1.90, moe=2.10
1.1379098892211914
