att=16.60, moe=108.29
att=16.58, moe=101.32
att=16.57, moe=101.55
att=16.57, moe=98.47
att=16.57, moe=101.40
att=16.58, moe=98.01
att=16.58, moe=96.60
att=16.57, moe=95.83
att=16.59, moe=97.69
att=16.57, moe=101.11
att=16.59, moe=98.80
att=16.58, moe=96.44
att=16.56, moe=96.54
att=16.58, moe=100.46
att=16.63, moe=98.03
att=16.58, moe=100.58
att=16.59, moe=97.71
att=16.58, moe=97.25
att=16.58, moe=99.46
att=16.57, moe=97.55
att=16.58, moe=98.94
att=16.58, moe=98.71
att=16.57, moe=97.32
att=16.58, moe=94.68
att=2.38, moe=13.45
att=2.29, moe=12.26
att=2.27, moe=12.32
att=2.24, moe=12.27
att=2.25, moe=12.23
att=2.23, moe=12.25
att=2.25, moe=12.18
att=2.23, moe=12.17
att=2.23, moe=12.22
att=2.22, moe=12.20
att=2.32, moe=12.24
att=2.27, moe=12.51
att=2.67, moe=13.55
att=2.57, moe=15.49
att=2.22, moe=12.16
att=2.21, moe=12.28
att=2.20, moe=12.23
att=2.24, moe=12.24
att=2.25, moe=12.20
att=2.22, moe=12.21
att=2.22, moe=12.19
att=2.21, moe=12.14
att=2.24, moe=12.10
att=2.21, moe=12.09
att=2.13, moe=12.28
att=2.11, moe=12.34
att=2.11, moe=12.33
att=2.13, moe=12.36
att=2.15, moe=12.36
att=2.12, moe=12.32
att=2.11, moe=12.24
att=2.11, moe=12.33
att=2.13, moe=12.30
att=2.12, moe=12.22
att=2.11, moe=12.27
att=2.12, moe=12.25
att=2.13, moe=12.26
att=2.11, moe=12.17
att=2.11, moe=12.28
att=2.16, moe=12.17
att=2.12, moe=12.22
att=2.11, moe=12.35
att=2.11, moe=12.23
att=2.11, moe=12.20
att=2.12, moe=12.19
att=2.09, moe=12.11
att=2.11, moe=12.21
att=2.11, moe=12.21
att=2.12, moe=12.06
att=2.13, moe=12.20
att=2.12, moe=12.18
att=2.12, moe=12.17
att=2.13, moe=12.19
att=2.13, moe=12.20
att=2.13, moe=12.22
att=2.11, moe=12.16
att=2.11, moe=12.24
att=2.13, moe=12.17
att=2.12, moe=12.18
att=2.12, moe=12.07
att=2.14, moe=12.22
att=2.12, moe=12.17
att=2.12, moe=12.16
att=2.13, moe=12.05
att=2.15, moe=12.17
att=2.14, moe=12.18
att=2.13, moe=12.07
att=2.11, moe=12.07
att=2.13, moe=12.13
att=2.11, moe=12.17
att=2.11, moe=12.06
att=2.11, moe=11.99
att=2.17, moe=12.12
att=2.17, moe=12.23
att=2.13, moe=12.09
att=2.14, moe=12.12
att=2.16, moe=12.15
att=2.18, moe=12.23
att=2.14, moe=12.16
att=2.15, moe=12.18
att=2.15, moe=12.22
att=2.16, moe=12.14
att=2.14, moe=12.09
att=2.15, moe=12.13
att=2.15, moe=12.12
att=2.12, moe=12.14
att=2.13, moe=12.07
att=2.13, moe=12.19
att=2.15, moe=12.16
att=2.12, moe=12.18
att=2.12, moe=12.08
att=2.12, moe=12.09
att=2.14, moe=12.10
att=2.12, moe=12.15
att=2.14, moe=12.11
att=2.15, moe=12.19
att=2.18, moe=12.18
att=2.17, moe=12.13
att=2.15, moe=12.23
att=2.16, moe=12.25
att=2.16, moe=12.12
att=2.15, moe=12.09
att=2.15, moe=12.18
att=2.15, moe=12.20
att=2.16, moe=12.19
att=2.17, moe=12.14
att=2.16, moe=12.05
att=2.15, moe=12.12
att=2.17, moe=12.13
att=2.13, moe=12.21
att=2.13, moe=12.16
att=2.13, moe=12.15
att=2.15, moe=12.21
att=2.13, moe=12.22
att=2.14, moe=12.17
att=2.12, moe=12.12
att=2.14, moe=12.14
att=2.13, moe=12.16
att=2.13, moe=12.13
att=2.13, moe=12.11
4.7014265060424805
