att=2.75, moe=40.52
att=2.67, moe=39.42
att=2.67, moe=39.62
att=2.66, moe=38.44
att=2.65, moe=39.43
att=2.72, moe=39.68
att=2.64, moe=35.35
att=2.71, moe=38.57
att=2.67, moe=40.10
att=2.65, moe=39.18
att=2.70, moe=40.01
att=2.71, moe=36.12
att=2.65, moe=39.19
att=2.68, moe=35.72
att=2.62, moe=38.05
att=2.65, moe=38.64
att=2.67, moe=38.74
att=2.67, moe=38.87
att=2.67, moe=39.53
att=2.65, moe=38.38
att=2.65, moe=38.62
att=2.65, moe=39.53
att=2.66, moe=38.36
att=2.65, moe=39.61
att=2.66, moe=35.60
att=2.67, moe=39.40
att=2.69, moe=39.59
att=2.66, moe=38.66
att=2.65, moe=39.09
att=2.65, moe=39.16
att=2.66, moe=39.22
att=2.71, moe=38.84
att=2.03, moe=8.58
att=2.01, moe=8.61
att=1.99, moe=8.58
att=2.01, moe=8.63
att=1.99, moe=8.66
att=2.00, moe=8.50
att=1.99, moe=8.58
att=2.03, moe=8.60
att=1.99, moe=8.63
att=2.00, moe=8.57
att=1.99, moe=8.64
att=2.04, moe=8.64
att=2.00, moe=8.67
att=2.11, moe=8.55
att=2.01, moe=8.60
att=2.04, moe=8.58
att=1.98, moe=8.57
att=1.99, moe=8.63
att=1.98, moe=8.54
att=2.00, moe=8.50
att=1.99, moe=8.56
att=2.00, moe=8.62
att=1.97, moe=8.59
att=2.00, moe=8.63
att=1.98, moe=8.52
att=1.99, moe=8.58
att=1.99, moe=8.65
att=2.01, moe=8.48
att=1.95, moe=8.62
att=1.98, moe=8.59
att=1.97, moe=8.55
att=1.98, moe=8.61
att=1.99, moe=8.52
att=1.97, moe=8.61
att=1.98, moe=8.59
att=2.02, moe=8.71
att=2.01, moe=8.65
att=2.00, moe=8.55
att=1.98, moe=8.62
att=1.99, moe=8.66
att=1.89, moe=8.60
att=1.99, moe=8.54
att=2.00, moe=8.62
att=1.99, moe=8.62
att=1.97, moe=8.61
att=1.98, moe=8.60
att=1.98, moe=8.59
att=1.98, moe=8.51
att=1.99, moe=8.61
att=2.00, moe=8.57
att=1.96, moe=8.53
att=1.99, moe=8.61
att=1.98, moe=8.61
att=1.99, moe=8.50
att=2.00, moe=8.64
att=1.98, moe=8.57
att=1.96, moe=8.56
att=1.97, moe=8.54
att=1.98, moe=8.47
att=2.00, moe=8.59
att=1.97, moe=8.62
att=1.98, moe=8.60
att=2.03, moe=8.60
att=1.97, moe=8.55
att=2.01, moe=8.56
att=1.96, moe=8.59
att=1.99, moe=8.61
att=1.97, moe=8.56
att=1.99, moe=8.54
att=1.99, moe=8.59
att=1.99, moe=8.58
att=1.97, moe=8.52
att=1.98, moe=8.61
att=1.98, moe=8.51
att=1.99, moe=8.60
att=1.99, moe=8.61
att=1.98, moe=8.59
att=1.96, moe=8.63
att=1.96, moe=8.63
att=2.01, moe=8.57
att=1.98, moe=8.54
att=1.99, moe=8.49
att=1.97, moe=8.58
att=1.97, moe=8.54
att=1.96, moe=8.55
att=2.00, moe=8.58
att=2.01, moe=8.58
att=2.01, moe=8.61
att=1.97, moe=8.53
att=1.98, moe=8.61
att=1.96, moe=8.58
att=1.98, moe=8.47
att=1.99, moe=8.60
att=1.99, moe=8.61
att=1.96, moe=8.60
att=1.97, moe=8.55
att=2.00, moe=8.55
att=1.99, moe=8.53
att=1.98, moe=8.62
att=1.97, moe=8.55
att=2.00, moe=8.50
att=2.02, moe=8.66
att=2.01, moe=8.62
att=2.00, moe=8.69
att=1.98, moe=8.54
att=1.97, moe=8.59
att=1.98, moe=8.59
att=2.01, moe=8.66
att=2.00, moe=8.57
att=1.98, moe=8.62
att=1.98, moe=8.56
att=1.98, moe=8.65
att=2.01, moe=8.58
att=1.99, moe=8.63
att=2.01, moe=8.61
att=2.02, moe=8.62
att=1.96, moe=8.63
att=1.98, moe=8.56
att=1.99, moe=8.58
att=1.89, moe=8.62
att=2.04, moe=8.62
att=2.00, moe=8.59
att=1.97, moe=8.62
att=1.99, moe=8.61
att=1.97, moe=8.57
att=2.00, moe=8.60
att=2.01, moe=8.63
att=1.99, moe=8.61
att=1.99, moe=8.58
att=1.99, moe=8.50
att=2.00, moe=8.58
att=2.00, moe=8.54
att=1.97, moe=8.58
att=1.97, moe=8.62
att=1.98, moe=8.56
att=2.00, moe=8.60
att=2.00, moe=8.58
att=2.00, moe=8.61
att=1.97, moe=8.62
att=1.99, moe=8.62
att=1.99, moe=8.56
att=2.00, moe=8.60
att=1.93, moe=8.54
att=2.00, moe=8.62
att=1.98, moe=8.65
att=2.04, moe=8.68
att=2.00, moe=8.60
att=2.03, moe=8.62
att=2.01, moe=8.54
att=1.98, moe=8.53
att=1.96, moe=8.57
att=2.00, moe=8.55
att=1.98, moe=8.60
att=1.99, moe=8.59
att=2.00, moe=8.59
att=2.00, moe=8.58
att=1.98, moe=8.60
att=2.00, moe=8.64
att=1.98, moe=8.59
att=2.00, moe=8.62
3.1800577640533447
