att=2.73, moe=40.57
att=2.65, moe=39.40
att=2.67, moe=39.52
att=2.65, moe=38.44
att=2.69, moe=39.39
att=2.65, moe=39.77
att=2.62, moe=35.77
att=2.66, moe=38.33
att=2.64, moe=40.05
att=2.67, moe=39.21
att=2.64, moe=40.01
att=2.64, moe=36.60
att=2.66, moe=39.27
att=2.70, moe=36.32
att=2.70, moe=37.97
att=2.65, moe=38.56
att=2.69, moe=38.68
att=2.69, moe=38.80
att=2.70, moe=39.43
att=2.70, moe=38.16
att=2.67, moe=38.63
att=2.65, moe=39.39
att=2.66, moe=38.24
att=2.67, moe=39.52
att=2.64, moe=36.02
att=2.67, moe=39.34
att=2.67, moe=39.50
att=2.67, moe=38.56
att=2.66, moe=39.11
att=2.65, moe=39.00
att=2.67, moe=39.17
att=2.64, moe=38.79
att=1.98, moe=11.22
att=2.03, moe=11.16
att=1.97, moe=11.04
att=1.99, moe=11.28
att=1.98, moe=11.19
att=1.99, moe=11.13
att=1.96, moe=11.13
att=2.05, moe=11.16
att=1.96, moe=11.20
att=1.98, moe=11.11
att=1.97, moe=11.11
att=1.98, moe=11.10
att=1.97, moe=11.15
att=1.96, moe=11.08
att=1.96, moe=11.12
att=1.97, moe=11.21
att=1.99, moe=11.16
att=2.03, moe=11.26
att=2.06, moe=11.16
att=2.01, moe=11.07
att=2.04, moe=10.91
att=1.91, moe=11.26
att=1.99, moe=11.14
att=1.99, moe=11.05
att=2.00, moe=11.10
att=1.97, moe=11.15
att=1.77, moe=11.13
att=1.99, moe=11.01
att=1.97, moe=11.12
att=2.00, moe=11.12
att=1.95, moe=11.20
att=1.99, moe=11.04
att=2.00, moe=11.05
att=1.96, moe=11.10
att=1.98, moe=11.13
att=1.94, moe=11.15
att=1.99, moe=11.12
att=1.96, moe=11.12
att=2.00, moe=11.19
att=1.96, moe=10.94
att=1.76, moe=11.13
att=1.98, moe=11.18
att=1.96, moe=11.15
att=1.99, moe=11.17
att=1.96, moe=11.14
att=2.01, moe=11.13
att=1.94, moe=11.12
att=1.97, moe=11.03
att=1.96, moe=11.22
att=1.98, moe=11.14
att=1.97, moe=11.01
att=1.94, moe=11.04
att=2.00, moe=11.19
att=1.95, moe=11.00
att=1.88, moe=11.13
att=1.96, moe=11.23
att=1.96, moe=11.09
att=1.96, moe=11.08
att=1.97, moe=11.01
att=1.97, moe=11.16
att=2.05, moe=11.11
att=1.94, moe=11.13
att=1.94, moe=11.07
att=1.97, moe=10.98
att=1.96, moe=11.16
att=1.95, moe=11.10
att=1.98, moe=11.09
att=1.95, moe=11.04
att=1.96, moe=11.03
att=1.96, moe=11.12
att=1.98, moe=11.06
att=1.96, moe=11.04
att=1.79, moe=11.04
att=2.10, moe=10.70
att=2.00, moe=11.28
att=1.86, moe=11.01
att=1.95, moe=11.08
att=1.96, moe=11.10
att=1.94, moe=11.15
att=1.96, moe=11.03
att=1.95, moe=11.05
att=1.95, moe=11.02
att=2.00, moe=11.13
att=1.98, moe=11.07
att=1.99, moe=11.13
att=1.95, moe=11.18
att=1.96, moe=11.13
att=1.96, moe=11.17
att=2.01, moe=11.11
att=1.96, moe=11.21
att=1.98, moe=11.11
att=1.97, moe=11.17
att=1.99, moe=11.12
att=1.95, moe=11.15
att=1.94, moe=11.14
att=1.95, moe=11.05
att=1.98, moe=11.11
att=1.97, moe=11.04
att=1.98, moe=11.17
att=1.97, moe=11.10
att=2.00, moe=11.05
att=1.98, moe=11.13
att=2.00, moe=11.11
att=1.95, moe=11.15
att=1.97, moe=11.06
att=1.97, moe=11.08
att=2.00, moe=11.08
att=1.96, moe=11.14
att=1.95, moe=11.10
att=1.95, moe=11.19
att=1.97, moe=11.02
att=1.98, moe=11.07
att=1.96, moe=11.11
att=2.01, moe=11.21
att=1.95, moe=11.12
att=1.97, moe=11.13
att=1.96, moe=11.17
att=1.99, moe=11.03
att=1.96, moe=11.12
att=1.97, moe=11.10
att=1.96, moe=11.13
att=1.97, moe=11.13
att=1.99, moe=11.12
att=1.95, moe=11.11
att=1.98, moe=11.17
att=1.96, moe=11.10
att=1.98, moe=11.09
att=1.96, moe=11.12
att=2.02, moe=11.10
att=1.98, moe=11.07
att=1.96, moe=11.21
att=2.01, moe=11.12
att=2.02, moe=11.17
att=2.01, moe=11.27
att=2.00, moe=11.22
att=1.98, moe=11.09
att=1.96, moe=11.10
att=1.97, moe=11.07
att=1.97, moe=11.15
att=1.96, moe=11.10
att=2.00, moe=11.10
att=1.96, moe=11.11
att=1.98, moe=11.04
att=1.95, moe=11.12
att=1.97, moe=11.12
att=1.98, moe=11.15
att=1.98, moe=11.11
att=2.02, moe=11.15
att=1.99, moe=11.12
att=2.03, moe=11.11
att=1.95, moe=11.05
att=1.97, moe=11.03
att=1.97, moe=11.16
att=1.99, moe=11.12
att=1.98, moe=11.08
att=1.98, moe=11.05
att=1.97, moe=11.12
att=1.97, moe=11.30
att=1.97, moe=11.14
att=2.02, moe=11.09
3.579045057296753
