att=1.83, moe=5.19
att=1.75, moe=48.24
att=1.76, moe=53.02
att=1.74, moe=52.10
att=1.76, moe=55.83
att=1.75, moe=49.04
att=1.75, moe=49.05
att=1.76, moe=47.60
att=1.76, moe=51.46
att=1.75, moe=50.42
att=1.75, moe=46.36
att=1.75, moe=50.06
att=1.76, moe=44.30
att=1.75, moe=47.04
att=1.75, moe=48.11
att=1.75, moe=43.29
att=1.77, moe=53.13
att=1.75, moe=47.00
att=1.75, moe=45.16
att=1.76, moe=45.03
att=1.76, moe=46.81
att=1.75, moe=50.85
att=1.76, moe=50.76
att=1.75, moe=51.62
att=1.75, moe=53.40
att=1.76, moe=55.54
att=1.76, moe=47.73
att=1.75, moe=53.50
att=1.57, moe=1.62
att=1.55, moe=7.34
att=1.56, moe=7.23
att=1.57, moe=7.28
att=1.56, moe=7.27
att=1.55, moe=7.27
att=1.55, moe=7.28
att=1.54, moe=7.35
att=1.57, moe=7.26
att=1.54, moe=7.26
att=1.56, moe=7.19
att=1.56, moe=7.21
att=1.55, moe=7.24
att=1.56, moe=7.24
att=1.55, moe=7.24
att=1.53, moe=7.36
att=1.56, moe=7.27
att=1.54, moe=7.26
att=1.55, moe=7.20
att=1.55, moe=7.26
att=1.55, moe=7.22
att=1.54, moe=7.24
att=1.55, moe=7.20
att=1.56, moe=7.22
att=1.55, moe=7.19
att=1.55, moe=7.22
att=1.52, moe=7.22
att=1.56, moe=7.20
att=1.57, moe=1.60
att=1.55, moe=7.22
att=1.55, moe=7.27
att=1.53, moe=7.26
att=1.57, moe=7.24
att=1.54, moe=7.22
att=1.54, moe=7.22
att=1.57, moe=7.25
att=1.55, moe=7.28
att=1.55, moe=7.24
att=1.56, moe=7.27
att=1.55, moe=7.27
att=1.56, moe=7.25
att=1.56, moe=7.22
att=1.53, moe=7.27
att=1.58, moe=7.25
att=1.55, moe=7.22
att=1.55, moe=7.21
att=1.56, moe=7.28
att=1.55, moe=7.27
att=1.54, moe=7.24
att=1.56, moe=7.26
att=1.53, moe=7.25
att=1.56, moe=7.23
att=1.54, moe=7.21
att=1.53, moe=7.22
att=1.57, moe=7.20
att=1.53, moe=7.27
att=1.56, moe=1.59
att=1.56, moe=7.27
att=1.53, moe=7.28
att=1.57, moe=7.30
att=1.53, moe=7.28
att=1.55, moe=7.24
att=1.56, moe=7.25
att=1.55, moe=7.27
att=1.56, moe=7.24
att=1.56, moe=7.24
att=1.55, moe=7.22
att=1.55, moe=7.19
att=1.54, moe=7.20
att=1.52, moe=7.23
att=1.56, moe=7.24
att=1.53, moe=7.24
att=1.54, moe=7.21
att=1.56, moe=7.21
att=1.52, moe=7.22
att=1.54, moe=7.20
att=1.56, moe=7.22
att=1.53, moe=7.23
att=1.55, moe=7.16
att=1.54, moe=7.21
att=1.53, moe=7.18
att=1.54, moe=7.17
att=1.54, moe=7.19
att=1.54, moe=7.23
att=1.54, moe=1.59
att=1.53, moe=7.30
att=1.55, moe=7.29
att=1.55, moe=7.34
att=1.54, moe=7.30
att=1.55, moe=7.29
att=1.54, moe=7.27
att=1.52, moe=7.28
att=1.56, moe=7.27
att=1.53, moe=7.29
att=1.55, moe=7.29
att=1.55, moe=7.31
att=1.55, moe=7.28
att=1.54, moe=7.24
att=1.54, moe=7.29
att=1.53, moe=7.26
att=1.56, moe=7.24
att=1.53, moe=7.27
att=1.54, moe=7.27
att=1.55, moe=7.30
att=1.54, moe=7.26
att=1.54, moe=7.23
att=1.54, moe=7.23
att=1.54, moe=7.25
att=1.55, moe=7.23
att=1.55, moe=7.20
att=1.52, moe=7.21
att=1.56, moe=7.21
att=1.58, moe=1.63
att=1.57, moe=7.27
att=1.56, moe=7.24
att=1.55, moe=7.28
att=1.55, moe=7.25
att=1.60, moe=7.34
att=1.55, moe=7.27
att=1.56, moe=7.28
att=1.54, moe=7.27
att=1.54, moe=7.22
att=1.55, moe=7.24
att=1.55, moe=7.23
att=1.54, moe=7.22
att=1.55, moe=7.22
att=1.52, moe=7.32
att=1.55, moe=7.23
att=1.51, moe=7.24
att=1.55, moe=7.25
att=1.54, moe=7.27
att=1.54, moe=7.24
att=1.54, moe=7.22
att=1.54, moe=7.25
att=1.53, moe=7.23
att=1.54, moe=7.22
att=1.54, moe=7.23
att=1.52, moe=7.27
att=1.57, moe=7.21
att=1.52, moe=7.24
2.721461057662964
