att=2.53, moe=3.63
att=2.28, moe=3.58
att=2.27, moe=3.55
att=2.27, moe=3.55
att=2.26, moe=3.51
att=2.24, moe=3.53
att=2.26, moe=3.49
att=2.23, moe=3.55
att=2.27, moe=3.49
att=2.25, moe=3.49
att=2.26, moe=3.48
att=2.26, moe=3.50
att=2.24, moe=3.48
att=2.27, moe=3.52
att=2.26, moe=3.50
att=2.28, moe=3.53
att=2.26, moe=3.48
att=2.26, moe=3.51
att=2.24, moe=3.50
att=2.27, moe=3.51
att=2.25, moe=3.50
att=2.25, moe=3.51
att=2.28, moe=3.51
att=2.25, moe=3.47
att=2.23, moe=3.52
att=2.26, moe=3.46
att=2.08, moe=3.08
att=2.09, moe=3.06
att=2.08, moe=3.08
att=2.08, moe=3.03
att=2.08, moe=3.06
att=2.08, moe=3.06
att=1.87, moe=2.10
att=1.84, moe=2.10
att=1.85, moe=2.10
att=1.83, moe=2.11
att=1.85, moe=2.12
att=1.87, moe=2.09
att=1.86, moe=2.08
att=1.87, moe=2.10
att=1.84, moe=2.10
att=1.83, moe=2.10
att=1.85, moe=2.10
att=1.82, moe=2.08
att=1.86, moe=2.09
att=1.86, moe=2.07
att=1.83, moe=2.09
att=1.84, moe=2.08
att=1.83, moe=2.09
att=1.85, moe=2.08
att=1.85, moe=2.07
att=1.84, moe=2.08
att=1.87, moe=2.07
att=1.83, moe=2.09
att=1.84, moe=2.09
att=1.84, moe=2.09
att=1.84, moe=2.06
att=1.86, moe=2.07
att=1.84, moe=2.08
att=1.85, moe=2.21
att=1.85, moe=2.08
att=1.82, moe=2.10
att=1.84, moe=2.10
att=1.85, moe=2.07
att=1.84, moe=2.08
att=1.86, moe=2.08
att=1.86, moe=2.08
att=1.83, moe=2.11
att=1.84, moe=2.10
att=1.82, moe=2.10
att=1.83, moe=2.08
att=1.87, moe=2.08
att=1.85, moe=2.09
att=1.86, moe=2.09
att=1.85, moe=2.10
att=1.83, moe=2.11
att=1.84, moe=2.10
att=1.84, moe=2.08
att=1.84, moe=2.08
att=1.86, moe=2.08
att=1.83, moe=2.10
att=1.85, moe=2.11
att=1.84, moe=2.09
att=1.82, moe=2.08
att=1.86, moe=2.08
att=1.85, moe=2.08
att=1.86, moe=2.09
att=1.84, moe=2.10
att=1.83, moe=2.10
att=1.85, moe=2.09
att=1.82, moe=2.08
att=1.85, moe=2.07
att=1.86, moe=2.08
att=1.83, moe=2.10
att=1.83, moe=2.10
att=1.82, moe=2.10
att=1.83, moe=2.11
att=1.84, moe=2.11
att=1.84, moe=2.08
att=1.84, moe=2.09
att=1.86, moe=2.09
att=1.83, moe=2.11
att=1.84, moe=2.09
att=1.85, moe=2.10
att=1.84, moe=2.09
att=1.86, moe=2.08
att=1.85, moe=2.08
att=1.82, moe=2.09
att=1.83, moe=2.09
att=1.83, moe=2.09
att=1.84, moe=2.09
att=1.83, moe=2.09
att=1.86, moe=2.08
att=1.87, moe=2.08
att=1.82, moe=2.10
att=1.84, moe=2.10
att=1.83, moe=2.08
att=1.83, moe=2.07
att=1.85, moe=2.07
att=1.83, moe=2.07
att=1.86, moe=2.07
att=1.82, moe=2.09
att=1.82, moe=2.08
att=1.84, moe=2.09
att=1.82, moe=2.07
att=1.85, moe=2.08
att=1.84, moe=2.07
att=1.86, moe=2.08
att=1.88, moe=2.08
att=1.84, moe=2.10
att=1.83, moe=2.09
att=1.84, moe=2.11
att=1.82, moe=2.08
att=1.86, moe=2.10
att=1.86, moe=2.08
att=1.83, moe=2.10
att=1.84, moe=2.10
att=1.83, moe=2.10
att=1.84, moe=2.10
att=1.85, moe=2.09
att=1.85, moe=2.08
att=1.87, moe=2.08
att=1.83, moe=2.09
att=1.83, moe=2.10
att=1.85, moe=2.10
att=1.83, moe=2.08
att=1.86, moe=2.09
att=1.85, moe=2.08
att=1.85, moe=2.09
att=1.84, moe=2.08
att=1.82, moe=2.09
att=1.84, moe=2.12
att=1.83, moe=2.08
att=1.84, moe=2.08
att=1.86, moe=2.08
att=1.83, moe=2.09
att=1.84, moe=2.10
att=1.82, moe=2.09
att=1.83, moe=2.09
att=1.85, moe=2.08
att=1.83, moe=2.08
att=1.84, moe=2.07
att=1.85, moe=2.08
att=1.83, moe=2.09
att=1.84, moe=2.11
att=1.84, moe=2.10
att=1.83, moe=2.07
att=1.85, moe=2.08
att=1.85, moe=2.09
att=1.85, moe=2.09
att=1.84, moe=2.09
att=1.82, moe=2.09
att=1.84, moe=2.09
att=1.83, moe=2.08
att=1.86, moe=2.08
att=1.85, moe=2.08
att=1.84, moe=2.09
att=1.84, moe=2.08
att=1.82, moe=2.08
att=1.83, moe=2.08
att=1.87, moe=2.07
att=1.84, moe=2.07
att=1.86, moe=2.07
att=1.83, moe=2.10
att=1.84, moe=2.08
att=1.84, moe=2.09
att=1.81, moe=2.08
att=1.86, moe=2.07
att=1.84, moe=2.07
att=1.85, moe=2.09
att=1.84, moe=2.09
att=1.82, moe=2.08
0.9645318984985352
