att=9.06, moe=74.96
att=8.78, moe=71.55
att=8.75, moe=71.44
att=8.71, moe=68.56
att=8.71, moe=72.46
att=8.70, moe=67.86
att=8.69, moe=66.22
att=8.70, moe=65.23
att=8.69, moe=67.06
att=8.70, moe=71.40
att=8.68, moe=68.69
att=8.73, moe=66.41
att=8.71, moe=66.04
att=8.72, moe=71.03
att=8.70, moe=67.83
att=8.68, moe=71.05
att=8.69, moe=67.26
att=8.70, moe=66.68
att=8.69, moe=69.94
att=8.70, moe=67.13
att=8.68, moe=68.77
att=8.70, moe=68.30
att=8.70, moe=66.68
att=8.68, moe=63.92
att=1.91, moe=11.38
att=1.86, moe=11.43
att=1.87, moe=11.42
att=1.86, moe=11.52
att=1.88, moe=11.44
att=1.86, moe=11.48
att=1.87, moe=11.47
att=1.86, moe=11.37
att=1.86, moe=11.43
att=1.85, moe=11.40
att=1.85, moe=11.32
att=1.85, moe=11.42
att=1.85, moe=11.37
att=1.86, moe=11.41
att=1.84, moe=11.38
att=1.84, moe=11.38
att=1.84, moe=12.22
att=1.85, moe=11.52
att=1.87, moe=11.47
att=1.85, moe=11.51
att=1.87, moe=11.35
att=1.83, moe=11.47
att=1.86, moe=11.40
att=1.84, moe=11.25
att=1.88, moe=11.50
att=1.84, moe=11.47
att=1.84, moe=11.46
att=1.85, moe=11.43
att=1.85, moe=11.50
att=1.86, moe=11.48
att=1.83, moe=11.44
att=1.84, moe=11.51
att=1.83, moe=11.47
att=1.85, moe=11.42
att=1.81, moe=11.49
att=1.83, moe=11.42
att=1.81, moe=11.47
att=1.84, moe=11.35
att=1.82, moe=11.48
att=1.85, moe=11.34
att=1.83, moe=11.46
att=1.85, moe=11.44
att=1.85, moe=11.52
att=1.85, moe=11.31
att=1.84, moe=11.48
att=1.85, moe=11.41
att=1.84, moe=11.47
att=1.84, moe=11.33
att=1.83, moe=11.37
att=1.83, moe=11.45
att=1.84, moe=11.40
att=1.81, moe=11.44
att=1.83, moe=11.54
att=1.82, moe=11.45
att=1.83, moe=11.48
att=1.80, moe=11.45
att=1.82, moe=11.50
att=1.82, moe=11.42
att=1.83, moe=11.38
att=1.82, moe=11.47
att=1.85, moe=11.42
att=1.82, moe=11.39
att=1.84, moe=11.38
att=1.82, moe=11.34
att=1.81, moe=11.35
att=1.80, moe=11.40
att=1.85, moe=11.45
att=1.81, moe=11.36
att=1.81, moe=11.40
att=1.82, moe=11.43
att=1.82, moe=11.34
att=1.82, moe=11.23
att=1.84, moe=11.46
att=1.85, moe=11.49
att=1.83, moe=11.49
att=1.85, moe=11.43
att=1.82, moe=11.45
att=1.82, moe=11.47
att=1.81, moe=11.43
att=1.83, moe=11.43
att=1.82, moe=11.50
att=1.84, moe=11.47
att=1.82, moe=11.49
att=1.83, moe=11.40
att=1.83, moe=11.46
att=1.84, moe=11.36
att=1.82, moe=11.35
att=1.81, moe=11.49
att=1.84, moe=11.58
att=1.82, moe=11.38
att=1.90, moe=11.94
att=1.83, moe=11.40
att=1.82, moe=11.31
att=1.81, moe=11.27
att=1.83, moe=11.40
att=1.81, moe=11.41
att=1.85, moe=11.40
att=1.84, moe=11.33
att=1.83, moe=11.38
att=1.81, moe=11.50
att=1.83, moe=11.29
att=1.83, moe=11.42
att=1.82, moe=11.42
att=1.82, moe=11.42
att=1.83, moe=11.38
att=1.85, moe=11.40
att=1.84, moe=11.35
att=1.83, moe=11.35
att=1.82, moe=11.35
att=1.85, moe=11.41
att=1.84, moe=11.35
att=1.84, moe=11.37
att=1.81, moe=11.43
att=1.83, moe=11.40
att=1.80, moe=11.38
att=1.81, moe=11.26
att=1.81, moe=11.45
att=1.81, moe=11.39
att=1.82, moe=11.32
att=1.80, moe=11.41
3.59808087348938
